Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Scale AI Cluster,"Optimization of radiation patients scheduling post-COVID 19 peak (COVID-19 Project) This project will leverage statistical modeling, machine learning and optimization techniques to optimize cancer care and radiotherapy scheduling logistics.",UHN Princess Margaret Cancer Center,COVID-19,1.5,1.5,11/22/2021,"Toronto, ON"
Scale AI Cluster,"Planogram optimization solution This project will develop an AI solution that optimizes merchandise product lines by generating a customized planogram for each location, delivering solutions to effectively merchandise each Canadian Tire store through the use of real-time data optimizing operations based on customer behaviour patterns.","Canadian Tire, Spacefile International Corp",General,2.19,4.99,06/21/2021,"Montreal, QC"
Scale AI Cluster,"Sherbrooke AI Digital Twin Using real-time data, the project will recreate Kruger's new manufacturing plant's entire supply chain virtually, adding an integrated set of predictive and prescriptive AI capabilities. This will allow the improvement of key operations from supply through processing to client shipping in order to drive revenues, efficiency and agility.","Kruger Inc., Polytechnique Montreal, DataPerformers, Université Laval, The Boston Consulting Group, Osedea",General,3.91,25.45,06/21/2021,"Montreal, QC"
Scale AI Cluster,"Transportation Optimization This project will develop an AI solution that will focus on optimizing the transportation routes and minimizing costs for the pulp & paper, water treatment and oil & gas industries. AI will allow the solution to select the optimal combination of routes after an exhaustive evaluation of all possible options, including driving hours, material compatibility, opening hours and even construction along the way.","Kemira Water Solutions Canada Inc., Global Attributes",General,0.67,2.32,06/21/2021,"Varennes, QC"
Scale AI Cluster,Demand Forecasts for Spare Parts This project will see project partners use AI models to better predict the demand for spare parts for aircraft maintenance. This will reduce the risk of supply shocks and will benefit suppliers and customers alike all along the supply chain.,"Bombardier, Traxall",General,0.65,1.7,02/18/2021,"Montreal, QC"
Scale AI Cluster,AI-powered Pricing Project partners will be working together to optimize pricing based on consumer demand and behaviour. The solution will also integrate the responses of competitors and market conditions.,"Couche-Tard Inc., Third Bridge, Ivado Labs",General,0.91,5.68,02/18/2021,"Montreal, QC"
Scale AI Cluster,Extending an Order's Life Cycle Through AI This project aims to reduce installation time for new fiber optic connections by accelerating several steps in the supply chain with artificial intelligence solutions.,"Bell Business Markets (Bell Canada), Loblaws Group of Companies Inc., Ausenco Engineering Canada Inc., Inmind Technologies, Maxa AI Inc.",General,0.62,2.39,02/18/2021,"Montreal, QC"
Scale AI Cluster,"Optimization of transportation assets (ARES) This project aims to develop a decision support system based on artificial Intelligence for the optimization of transport assets including a fleet of trucks, drivers, chassis and rails. Road transportation planning will allow Ray-Mont and its partners to reduce expenses, eliminate bottlenecks, reduce empty runs and improve asset utilization. In terms of rail transportation, the project is expected to minimize switch changes, car movements and operational delays related to rail management at Ray-Mont terminals and at its railway partners.","Ray-Mont Logistics International, Argus Transport",General,0.46,1.83,02/18/2021,"Montreal, QC"
Scale AI Cluster,"Improving the Supply Chain for Truck Maintenance This project aims to design a suite of algorithms that can predict what would otherwise be unexpected truck breakdowns and their root causes. These algorithms will make use of data generated during normal truck operations, particularly related to the engine, brake and tire subsystems.","Trimac Transportations, Preteckt, McGill University, Bridgestone",General,1.43,5.03,02/18/2021,"Calgary, AB"
Scale AI Cluster,"FounderFuel Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in FounderFuel, a mentor-driven accelerator, focusing on leadership development and growth to help early-stage startups make meaningful progress on the venture path during a 4-month intensive program.",Real Ventures (Founder Fuel),General,0.07,0.48,11/10/2020,"Montreal, QC"
Scale AI Cluster,"HyperScale AI Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in BC Tech Association, based in Vancouver, to provide services and support required to accelerate the creation of globally competitive Canadian supply chain AI companies.",BC Tech Association,General,0.28,0.35,11/10/2020,"Vancouver, BC"
Scale AI Cluster,"Ecofuel Accelerator Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Ecofuel, an accelerator that provides services and support to startups specializing in clean technology, and the selection process for start-up participants is underway.",Ecofuel,General,0.2,0.96,11/10/2020,"Montreal, QC"
Scale AI Cluster,Datapreneur Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the Entrepreneurship Center at the University of Montreal (CEuMontreal) to provide support and services to future entrepreneurs in AI and data science with the goal of transforming their ideas into concrete projects.,Entrepreneurship Center at the University of Montreal (CEuMontreal),General,0.05,0.24,11/10/2020,"Montreal, QC"
Scale AI Cluster,Scale AI Québec Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Centre d'entreprises et d'innovation de Montreal (CEIM). CEIM provides services and support to Quebec startups at the pre-commercialization or commercial stage who are developing innovative products and services with AI that have supply chain applications.,Centre d'entreprises et d'innovation de Montréal (CEIM),General,0.07,0.58,11/10/2020,"Montreal, QC"
Scale AI Cluster,"Founder Institute Supply Chain & Mobility Fellowship Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the accelerator at BCF Ventures, a Canadian-based Corporate Venture Capital firm based in Montreal. BCF Ventures will partner with the Founder Institute (based in Silicon Valley with chapters across the globe) to launch the stage accelerator program that provides the structure, mentor support, and global network of entrepreneurs needed to start an enduring company.",BCF Ventures,General,0.02,0.06,11/10/2020,"Montreal, QC"
Scale AI Cluster,"Propel Virtual Accelerator Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Propel ICT Inc., Atlantic Canada's virtual accelerator for start-ups in the information and communications technology space. Propel ICT Inc. works directly with emerging businesses during the first 6 months to help with the development of their ventures.",Propel ICT Inc.,General,0.11,1.63,11/10/2020,"Saint John, NB"
Scale AI Cluster,"Holt Accelerator Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Holt Accelerator, a seed fintech investor based in Montreal. Holt tracks early stage fintechs globally and solicits the best ones and matches them with their Advisor network.",Holt Accelerator,General,0.07,0.74,11/10/2020,"Montreal, QC"
Scale AI Cluster,"Velocity Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada.The Cluster is investing in Velocity, the signature entrepreneurship program at the University of Waterloo. Velocity's incubator program is for early-stage, pre-seed tech startups.",Velocity Incubator,General,0.5,0.5,11/10/2020,"Kitchener, ON"
Scale AI Cluster,"Propulsion Scale AI Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Le CAMP, based in Quebec City, to offer services and support for startups using technology to solve supply chain issues.",Le CAMP,General,0.18,0.38,11/10/2020,"Quebec City, QC"
Scale AI Cluster,"Centech Acceleration Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Centech, a business incubator based in Montreal that offers support programs for start-ups. The Centech Acceleration program is an intensive and structured 12-week program dedicated to technology ventures.",Centech,General,0.35,1.19,11/10/2020,"Montreal, QC"
Scale AI Cluster,"MaRS Supply Chain AI Project Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in MaRS Discovery District, based in Toronto, to provide services and support to build Canada's next generation of high-growth supply chain AI companies.",MaRS Discovery District,General,0.5,0.5,11/10/2020,"Toronto, ON"
Scale AI Cluster,"HubIA Inspire Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Centech, a business incubator based in Montreal that offers services and support programs for start-ups. The program aims to accelerate AI adoption for SMEs and ensure that they are ready for AI implementation with pre-approvals from financial partners.",Centech,General,0.1,0.38,11/10/2020,"Montreal, QC"
Scale AI Cluster,"Amplify AI BC Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Alacrity Canada, a not-for-profit accelerator that will be providing services and support to AI-focused firms based in B.C. Alacrity Canada aims to help build inbound investment and revenue both domestically and globally for AI driven companies. Their goal is to launch the first commercialization, marketing, and sales acceleration program for AI supply chain companies in Canada.",Alacrity Canada,General,0.2,0.57,11/10/2020,"Victoria, BC"
Scale AI Cluster,"Volta AI Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the innovation hub Volta, based in Halifax. Volta will launch a program where eligible AI supply chain focused ventures are given additional access to programming and funding opportunities facilitated and administered by Volta.",Volta,General,0.18,0.18,11/10/2020,"Halifax, NS"
Scale AI Cluster,"TechStars Montréal Ai Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in Techstars Montréal, a Montreal-based accelerator that will provide services and support to selected AI startups.",TechStars Montreal,General,0.07,0.67,11/10/2020,"Montreal, QC"
Scale AI Cluster,Supply Chain AI West Scale AI's Acceleration program provides funding to accelerators and incubators to support the growth of AI startups and SMEs across Canada. The Cluster is investing in the Alberta Machine Intelligence Institute (AMII) based in Edmonton. The AMII will empower startups and early-stage founders to incorporate AI and machine learning toward creating AI-powered supply chains through access to training and advertisement services.,Alberta Machine Intelligence Institute (AMII),General,0.15,0.77,11/10/2020,"Edmonton, AB"
